source_index,text,text_clean,actual,predicted,correct,word_count_clean,predicted_score,runner_up_label,runner_up_score,decision_margin
2876,Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .,rivals say qualcomm has fewer patents on 3g phones than on earlier versions and should lower its rates .,negative,neutral,False,19,-0.07224959074115334,negative,-0.1611165729918228,0.08886698225066947
3193,Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,negative,neutral,False,20,-0.10630374205339688,negative,-0.23270593149081964,0.12640218943742276
3352,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,finnish developer and manufacturer of mobile phone chargers salcomp plc omx helsinki : sal1v on wednesday 19 november lowered its full-year net sales estimate .,negative,neutral,False,25,-0.09684881554491653,negative,-0.23908661217111637,0.14223779662619984
3256,The company expects its net sales for the whole 2009 to remain below the 2008 level .,the company expects its net sales for the whole 2009 to remain below the 2008 level .,negative,neutral,False,17,0.18257517969006118,negative,-0.056034524149956355,0.23860970384001753
3114,"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .","nordic banks have already had to write off sizable loans in latvia , with swedbank , nordea , dnb nor and seb reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in latvia .",negative,neutral,False,47,-0.05589501875760139,negative,-0.44948145189968286,0.39358643314208147
3097,And U.S. energy executives say high steel prices are threatening energy exploration .,and u.s. energy executives say high steel prices are threatening energy exploration .,negative,neutral,False,13,0.10400062051000691,negative,-0.4531266054698975,0.5571272259799045
2837,"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .","the sale will result in a capital loss of eur5m for solidium , which obtained tikkurila shares in march 2010 .",negative,neutral,False,21,0.27424053111250346,negative,-0.3493759581990761,0.6236164893115795
3214,"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .","`` small firms are suffering at the moment because they are likely to have money trouble , '' he added .",negative,neutral,False,21,0.311135792477785,negative,-0.33539060872867954,0.6465264012064645
2971,"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .","as a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",negative,neutral,False,21,0.48564859076940686,negative,-0.19581947409919687,0.6814680648686038
3137,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .","agricultural newspaper maaseudun tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative,neutral,False,15,0.17391701269425144,positive,-0.5098055151452574,0.6837225278395088
